"TEMPORADA","COLOR","MARCA","DESCRIPCION","CODIGO"
0,"BLANCO","PIKOLIN","COLCHON MUELLE NORMALOCK","9.97994897799545E+15"
0,"BLANCO","PIKOLIN","COLCHON MUELLE NORMALOCK","9.97994897799547E+15"
0,"BLANCO","PIKOLIN","COLCHON MUELLE NORMALOCK","9.97994897799542E+15"
0,"BLANCO","PIKOLIN","COLCHON MUELLE NORMALOCK","9.97994897799520E+15"
0,"BLANCO","PIKOLIN","COLCHON MUELLE NORMALOCK","9.97994897799521E+15"
0,"BLANCO","PIKOLIN","COLCHON MUELLE NORMALOCK","9.97994897799527E+15"
0,"BLANCO","PIKOLIN","COLCHON MUELLE NORMALOCK","9.97994897799522E+15"
0,"BLANCO","PIKOLIN","COLCHON MUELLE NORMALOCK","9.97994897799099E+15"
0,"GRIS","PIKOLIN","COLCHON MUELLE NORMALOCK","9.97994897799084E+15"
0,"GRIS","PIKOLIN","COLCHON MUELLE NORMALOCK","9.97994897799064E+15"
0,"GRIS","PIKOLIN","COLCHON MUELLE NORMALOCK","9.97994897799050E+15"
0,"GRIS","PIKOLIN","COLCHON MUELLE NORMALOCK","9.97994897799047E+15"
0,"BLANCO","PIKOLIN","COLCHON MUELLE NORMALOCK","9.97994897799544E+15"
0,"BLANCO","PIKOLIN","COLCHON MUELLE NORMALOCK","9.97994897799524E+15"
0,"GRIS","PIKOLIN","COLCHON MUELLE NORMALOCK","9.97994897799087E+15"
0,"GRIS","PIKOLIN","COLCHON MUELLE NORMALOCK","9.97994897799082E+15"
0,"GRIS","PIKOLIN","COLCHON MUELLE NORMALOCK","9.97994897799060E+15"
0,"GRIS","PIKOLIN","COLCHON MUELLE NORMALOCK","9.97994897799061E+15"
0,"GRIS","PIKOLIN","COLCHON MUELLE NORMALOCK","9.97994897799067E+15"
0,"GRIS","PIKOLIN","COLCHON MUELLE NORMALOCK","9.97994897799062E+15"
0,"GRIS","PIKOLIN","COLCHON MUELLE NORMALOCK","9.97994897799046E+15"
0,"BLANCO","PIKOLIN","COLCHON MUELLE NORMALOCK","9.97994897799548E+15"
0,"BLANCO","PIKOLIN","COLCHON MUELLE NORMALOCK","9.97994897799530E+15"
